,Reviewer Name,Profile Link,Country,Review Count,Review Date,Rating,Review Title,Review Text,Date of Experience
0,Eugene ath,/users/66e8185ff1598352d6b3701a,US,1 review,2024-09-16T13:44:26.000Z,Rated 1 out of 5 stars,A Store That Doesn't Want to Sell Anything,"I registered on the website, tried to order a laptop, entered all the details, but instead of charging me and sending the product, they froze my account, demanding various verification documents. I sent them over. They said they would review them within 24 hours. In reality, it's been a week, and no one can help or give any (truthful) estimate of when it will be resolved; they just tell me to 'wait.' I've never seen such a horrible marketplace in my life. I hope those who came up with this can't buy food in a store, receiving a 'document review request' that takes forever to process.",16-Sep-24
1,Daniel ohalloran,/users/5d75e460200c1f6a6373648c,GB,9 reviews,2024-09-16T18:26:46.000Z,Rated 1 out of 5 stars,Had multiple orders one turned up and…,"Had multiple orders one turned up and driver had to phone as no door number on packaging, then waited all day for second package to get a message saying couldn't deliver as no number on packaging, 12 hours waiting in now don't even know when I'm getting delivery. Terrible will never use again",16-Sep-24
2,p fisher,/users/546cfcf1000064000197b88f,GB,90 reviews,2024-09-16T21:47:39.000Z,Rated 1 out of 5 stars,I informed these reprobates,"I informed these reprobates that I WOULD NOT BE IN as I was going to visit a sick relative, they told me they were going to send a OTP, I told them I could not receive it as I was travelling a long way on the underground, their reply was don’t worry we can text. I pointed out I can’t receive texts EITHER!!They said parcel was on its way so couldn’t stop it. I pointed out I WOULD NOT WANT IT as, I had PERMANENTLY CLOSED my account!The driver came whilst I was out and failed to even follow my settings info that said to deliver to a specific neighbour if I was out, since then my account has now been deleted",16-Sep-24
3,Greg Dunn,/users/62c35cdbacc0ea0012ccaffa,AU,5 reviews,2024-09-17T07:15:49.000Z,Rated 1 out of 5 stars,Advertise one price then increase it on website,I have bought from Amazon before and no problems being very happy with the service and price. Amazon advertise the product at 61.23 us as soon as I logged in and tried to buy two of the items they were 86.75 for each.There is no way of contacting customer service I've spent an hour going round and round in circles. Very disappointing. I would leave a negative star review for the customer service and what I consider to be really poor advertising. ,17-Sep-24
4,Sheila Hannah,/users/5ddbe429478d88251550610e,GB,8 reviews,2024-09-16T18:37:17.000Z,Rated 1 out of 5 stars,If I could give a lower rate I would,If I could give a lower rate I would! I cancelled my Amazon Prime in February and subsequently found that they had continued to charge me. When I contacted them they refused to give details of who had set up the payment as I didn't have Prime membership at that time. My credit card company cancelled the payment for me and refunded the payments made in June. I have just discovered that Amazon Prime has set up payments again without me being a Prime member!! I have had to cancel my credit card to stop them!!Do not trust Amazon Prime. ,16-Sep-24
5,Tamesha Hamilton,/users/61c9cae376c3900012a0e3f7,US,4 reviews,2024-09-17T10:07:38.000Z,Rated 1 out of 5 stars,"Terrible, I had to hang up and call back ","Terrible you get customer service reps that are clearly home, you hear children and family scenarios in the background. These people lie when asked if they have a quiet environment to work in and I get minimal help if they speak English well enough.",16-Aug-24
6,Irene Rousseau,/users/5951a1dd0000ff000aa8698c,US,30 reviews,2024-09-16T23:43:32.000Z,Rated 1 out of 5 stars,Yet again ,"Amazon has a way of tainting a great product due to their inability to separate used goods from the new. I received a great name blush today that was so obviously used. I can’t even fathom why Amazon does this and it is done often so it is not a mistake. I wish I could send you pictures of the product I received, and Amazon wants you to purchase Prime…Oh yeah ",16-Sep-24
7,Jacqueline Novak,/users/66e7036d940b04efc9988064,US,2 reviews,2024-09-15T18:07:45.000Z,Rated 5 out of 5 stars,I love amazon,"I love amazon! I use it for half my shopping. The prime membership is worth it as you can receive free 2-day shipping on most purchases. The online store also has almost anything you can think of ranging from toiletries, clothes, to electronics and furniture!",15-Sep-24
8,Robert Field,/users/66e96137389eefc81dbb22ad,GB,1 review,2024-09-17T13:00:12.000Z,Rated 1 out of 5 stars,I applied for a job with Amazon,"I applied for a job with Amazon. I completed all the steps (including sending confidential data and personal information), when I attended the 'Pre-hire appointment' at the scheduled time, no one was on the other end of the video call!So I tried to speak to someone at Amazon to reschedule this, but due to language barriers with the Amazon call handlers, this has been very difficult.Why can't you lot have a phone call interview?? It really is the utmost rudeness when I have sent everything Amazon asked for, promptly and fully, and your recruitment team can't even answer a video call at the scheduled time?? And why can't I get through to speak to someone who can understand what I'm saying? I'm about to withdraw my application, if the recruitment process is this disorganised then I hate to think what the job's like!",17-Sep-24
9,MH,/users/66e87dbc940b0476539976cd,US,3 reviews,2024-09-16T21:04:07.000Z,Rated 5 out of 5 stars,I had a great experience with their…,I had a great experience with their customer service. They delivered my order to wrong address but didnt give me hassle of finding the item. Instead they said they will take care of it and replaced my order.,13-Sep-24
